,Audience_score_squareroot,Expert_Indication,Audience_indication,movieRank
0,0.8888194417315589,3.96,0.044099999999999986,3
1,0.8660254037844386,5.97,0.5625,2
2,0.8660254037844386,3.4699999999999998,0.0625,2
3,0.8660254037844386,4.17,0.5625,81
4,0.8660254037844386,5.0600000000000005,0.5625,99
5,0.9219544457292888,1.35,0.022500000000000006,42
6,0.9591663046625439,4.4,0.8464,27
7,0.9695359714832658,5.9399999999999995,0.0036000000000000064,8
8,0.9327379053088815,4.35,0.016900000000000002,39
9,0.5385164807134504,3.63,0.0841,88
10,0.9643650760992956,6.21,0.004899999999999993,75
11,0.9695359714832658,2.83,0.0036000000000000064,44
12,0.9,4.77,0.6561000000000001,63
13,0.9591663046625439,3.9,0.006399999999999993,27
14,0.848528137423857,6.73,0.5184,72
15,0.9591663046625439,4.85,0.8464,38
16,0.9486832980505138,2.95,0.81,5
17,0.9486832980505138,1.94,0.81,6
18,0.9,5.77,0.03609999999999998,63
19,0.8185352771872451,5.9,0.10889999999999997,28
20,0.9486832980505138,2.35,0.009999999999999995,40
21,0.8185352771872451,1.0699999999999998,0.10889999999999997,97
22,0.7810249675906654,4.57,0.1521,98
23,0.8246211251235321,5.57,0.10239999999999996,96
24,0.7549834435270749,4.73,0.18490000000000004,71
25,0.8831760866327847,4.59,0.6084,94
26,0.916515138991168,4.77,0.7055999999999999,65
27,0.6708203932499369,5.29,0.2025,57
28,0.9591663046625439,6.35,0.8464,38
29,0.9695359714832658,4.45,0.0036000000000000064,4
30,0.9486832980505138,2.44,0.81,6
31,0.916515138991168,5.57,0.02560000000000001,95
32,0.8,2.71,0.1296,77
33,0.9273618495495703,6.9399999999999995,0.019600000000000003,10
34,0.9539392014169457,5.78,0.008099999999999994,60
35,0.9327379053088815,6.85,0.016900000000000002,37
36,0.8831760866327847,4.29,0.04839999999999999,59
37,0.8831760866327847,5.29,0.6084,61
38,0.9695359714832658,5.83,0.8835999999999999,44
39,0.9695359714832658,5.95,0.8835999999999999,4
40,0.714142842854285,6.9399999999999995,0.24009999999999998,11
41,0.848528137423857,5.8,0.5184,56
42,0.7745966692414834,2.2199999999999998,0.36,74
43,0.6708203932499369,1.29,0.30250000000000005,57
44,0.8831760866327847,5.59,0.04839999999999999,94
45,0.8660254037844386,4.3,0.5625,55
46,0.8717797887081347,6.83,0.5776,47
47,0.5385164807134504,6.13,0.0841,88
48,0.8306623862918074,3.17,0.09610000000000003,79
49,0.9433981132056604,4.9,0.012099999999999998,23
50,0.938083151964686,2.83,0.7744,51
51,0.9486832980505138,5.37,0.81,33
52,0.7745966692414834,3.74,0.36,66
53,0.8774964387392122,5.2,0.05289999999999999,78
